=== 马庭芦花 (rok) 剧情配音文本 ===
共计 1426 句台词

[rok001_002] ……んー……あの
[rok521_144] まー坊が余計なことを言うからでしょ！あ、アタシがどれだけ勇気を振り絞ったと思っているのかっ！
[rok521_145] ……むぅぅぅ……
[rok521_146] まー坊……なんか余裕だね。も、もしかして……まー坊ってば、そういう経験……あるの？
[rok521_147] そっか……よかった……
[rok521_148] 童貞厨とかっ、そんな童貞信仰は持ち合わせてない！
[rok521_149] 持ち合わせてるわけじゃないけど……そういう人がいたときに、比較されるのは嫌だなぁって
[rok521_150] それにさ、アタシの方が年上なのに……そういう事をリードされるのも、ちょっと微妙かなって
[rok521_151] ここはやっぱり年上として、お姉さんがりりリードしてあげましょう
[rok521_152] うっ、うるさいっ
[rok521_153] 好きな相手に緊張すらしてもらえないって言うのは……結構ショックなんだけど？
[rok521_154] 本当だ……ドキドキしてる。あと……思ってたよりも筋肉があるんだね
[rok521_155] 服の上からじゃ……本当に、わからないものだね
[rok521_156] ッッ……
[rok521_157] きょ、興味……あるかも……まー坊の、か、か、身体に……
[rok521_158] 何言ってるの、まー坊。そういうのは……いちいち確認しないでいいの
[rok521_160] だ、だってっ！　き、緊張しちゃうんだもん！　仕方ないでしょ、はぁ、はぁ
[rok521_162] んんっ！？　んっ、んっ……んっ……ちゅ……
[rok521_163] ん……ん………………
[rok521_165] はきゅぅ……ッッ
[rok521_167] よくわかんないけど……なんか、頭が沸騰したみたいになっちゃって……
[rok521_168] でも、もう平気。大丈夫だから
[rok521_169] ……んっ……
[rok521_170] あのっ、あのっ……続けるのはいいんだけど……電気は、消しても……いいかな？
[rok521_171] あ、あんまりじっと見ないでよ……
[rok521_172] 。。。ッッ！！
[rok521_173] アタシの事、辱めて……楽しんでない？
[rok521_174] ……ぅぅ……自分で言い出したこととはいえ、ここまで恥ずかしいとは……
[rok521_176] はぁ……はぁ……はぁ、はぁ、はぁ、はぁ……
[rok521_177] 。。。。ッッ
[rok521_178] で、でも、でも……
[rok521_179] っ……ぅぅぅぅぅ……っ
[rok521_181] こ……興奮、する？
[rok521_182] そ、その前にまー坊も……ちゃんと脱いで……欲しい
[rok521_183] まー坊……
[rok521_184] ――ひッ！？なななななんで全部脱いじゃってるの！？
[rok521_186] ……お、男の人の……ま、真っ裸……はぁ、はぁ、はぁ……はぁ、はぁ、はぁ……
[rok521_187] まー坊ってば……またそうやってアタシを辱める……
[rok521_189] おっきいのは……嫌かな？
[rok521_190] そ、そっか、よかった……
[rok521_191] まー坊の身体……思ったよりも筋肉質だ。こうして見ると、男の子じゃなくって男の人っていう身体……
[rok521_192] 本当に、おっきくなったんだね……
[rok521_193] そっ、そういう意味じゃないっ！意味じゃない、けど……そっちも、おっきい……
[rok521_195] う、うん……いや待った！
[rok521_196] そうじゃなくてね、あの、あの……お姉さんが、してあげる
[rok521_197] まー坊も初めてで、よくわからないんでしょう？だから今日は、年上としてリードしたげる
[rok521_198] だから、ベッドの上に横になって
[rok522_001] よろしくお願いします
[rok522_002] ど……どうですか？
[rok522_003] そうなの。口当たりも爽やかでしょう？
[rok522_004] ううん。あとはスイカとかも考えてる。数もある程度絞って、店内でしか食べられない限定商品にするつもり
[rok522_005] 持ち帰りや限定をしない商品としては、珈琲と抹茶のグラニテを作る
[rok522_006] っていうので……どうかな？
[rok522_007] ほ、本当に？いいの？
[rok522_008] それで……味の方は、どうかな？
[rok522_009] 味の細かい調整は？
[rok522_010] え？
[rok522_011] わ、わかった……って、もしかしてそれ、アタシがやるの？
[rok522_013] うんっ！
[rok522_014] 。。。
[rok522_015] 抹茶パフェ２つ、お願いします
[rok522_016] 。。。
[rok522_018] ……まー坊？　何を笑ってるの？
[rok522_019] ふふふ、ありがとう。これも全部、まー坊のおかげだよ
[rok522_020] んー……そうかもしれないけど……そうでもないかも
[rok522_021] もちろん嬉しいよ。でも……これ以上ないぐらい、っていうのは違うかも
[rok522_022] 他にも嬉しいことは……ちゃんとあるよ
[rok522_023] おやまあ、それを訊いちゃいますか？ホント、ニブチンだねぇ、まー坊は
[rok522_024] ほら、こっちおいで。三味線、教えたげるから
[rok522_025] お父さんに認めてもらえるのは嬉しい。でもね、まー坊
[rok522_026] 好きな相手と恋人になれて、こうして密着していられるのは……とっても幸せなことだよ
[rok522_027] まー坊、大好き……ふふ
[rok522_028] ここのところ忙しくてゴメンね、寂しかった？
[rok522_029] ……ありがとう……
[rok522_030] 当ててるんだよ……わかってるくせに
[rok522_031] 我慢してたのは……まー坊だけじゃない、ってこと
[rok522_032] アタシだって寂しかったんだよ……でもね、これ以上甘えちゃうとそのまま流されちゃいそうだったから、ずっと我慢して
[rok522_033] 今日ぐらいはいいでしょう？認めてもらえて、嬉しかったんだから……
[rok522_034] 我慢するだけじゃなくて、たまにはご褒美というか……リフレッシュは大事だよ。これからのやる気にも繋がるしね
[rok522_035] まー坊だってそうでしょう？今までのお詫び、して欲しいと思わない？
[rok522_036] ……リフレッシュ、しちゃおっか？
[rok522_037] 大丈夫。もう誰も入ってきたりしないから
[rok522_038] ねえ……今日は、どんなふうにしたい？
[rok522_039] ふふ、正直でよろしい……
[rok522_170] はぁ……もう死んじゃうかと思った……
[rok522_171] まー坊、激し過ぎ……本当、今度からはもうちょっと加減してよ？
[rok522_172] え？そりゃあるでしょう
[rok522_173] やり過ぎなのは間違いない。でも……それで嫌いになるなんてことはないよ、絶対に
[rok522_174] だって、今日また新しい発見をしたんだから
[rok522_175] あれがきっと絶頂……イくってことだよ
[rok522_176] 身体が痺れて大変なんだけど……すっごく幸せなんだよ、アレ。だから……また、イかせて欲しい
[rok522_177] その分、アタシも頑張る。なんかねー……ちょっとコツがつかめてきたかも
[rok522_178] ねえ、まー坊。今度、一緒にお出かけしない？
[rok522_179] 果物を探しにね
[rok522_180] うん。まー坊の意見を聞かせて欲しいの
[rok522_181] いいのいいの。お客さんだって、専門家じゃないんだから
[rok522_182] そういう意見の方が重要ってこともあるの。それにね……まー坊はアタシにとって、幸運の神様みたいなものだから
[rok522_183] アタシはずっと悩んでた。でもまー坊と出会えてから、急に世界が開けたみたいになったの
[rok522_184] まー坊がいてくれたら、何でも上手くいくとは思ってないよ
[rok522_185] でもね、まー坊が側にいてくれたら……アタシ、頑張れるんだよね。身体に活力がみなぎる感じ
[rok522_186] 側で支えてくれるのが、重要なんだよ
[rok522_187] アタシも……まー坊の笑う顔が好きだから。まー坊がね、一緒に喜んでくれるから、頑張れるんだよ
[rok522_188] 好きだよ……大好き。愛してる
[rok522_189] え？お店は基本的には無休だけど……お正月とかなら？
[rok522_190] なに？何か用事でもある？
[rok522_191] ……あっ……もう、まー坊ってば、アタシを喜ばせるの、上手過ぎだよ
[rok522_192] なんだとぉ！？そういうところばっかりナマイキに育っちゃって！
[rok522_193] でも好きだよ
[rok522_194] うんっ！２人で一緒にね
